conformer,energy
cation-001,4.9808
cation-002,7.2437
cation-003,9.2324
cation-004,5.2912
cation-005,6.7697
cation-006,11.0224
cation-008,11.3550
cation-010,7.4528
cation-011,9.2939
cation-012,3.1095
cation-013,0.0000
cation-014,7.9041
cation-015,3.8935
cation-016,8.3345
cation-017,7.2278
cation-019,12.7271
cation-020,6.3463
cation-021,3.6793
cation-023,6.6964
cation-024,5.9252
cation-025,8.6571
cation-028,12.6825
cation-029,3.2549
cation-031,8.5934
cation-033,7.3560
cation-034,3.8581
cation-038,7.3882
cation-040,6.6202
cation-041,10.3540
cation-042,8.3345
cation-043,8.7091
cation-045,8.4642
cation-047,5.0520
cation-048,12.6244
cation-049,9.3636
cation-051,8.1105
cation-053,8.4047
cation-054,8.3227
cation-056,9.3511
cation-057,2.3540
cation-058,11.1046
cation-059,6.6202
cation-061,6.3463
cation-062,8.6553
cation-065,10.3239
cation-067,6.2776
cation-071,8.6598
cation-072,7.3834
cation-073,5.4150
cation-074,7.3882
cation-075,12.2313
cation-078,9.2074
cation-079,3.1629
cation-080,10.1505
cation-082,8.6392
cation-083,7.7897
cation-084,8.7915
cation-086,8.6169
cation-087,5.8573
cation-091,12.2653
cation-095,10.1746
cation-098,6.2776
cation-099,7.7897
cation-101,6.5866
cation-102,10.7554
cation-103,5.0677
cation-104,7.9297
cation-108,11.4827
cation-109,12.2139
cation-113,5.4309
cation-114,6.2776
cation-117,8.3646
cation-118,11.2137
cation-119,10.1593
cation-124,1.5542
cation-127,3.2484
cation-128,2.3769
cation-130,1.0576
cation-131,2.5534
cation-135,4.1070
cation-136,5.6331
cation-139,6.5866
cation-140,6.7056
cation-141,8.4549
cation-144,3.7629
cation-147,6.5853
cation-148,4.6606
cation-151,5.4647
cation-152,6.5498
cation-153,3.1423
cation-154,2.6995
cation-155,7.5143
cation-157,1.5036
cation-158,3.1941
cation-159,0.5290
cation-160,4.8237
cation-161,7.7576
cation-162,4.8802
cation-163,8.9924
cation-165,4.2966
cation-167,4.1629
cation-170,3.7707
cation-171,4.2966
cation-172,6.5234
cation-173,4.5218
cation-175,4.5728
cation-178,7.3265
cation-179,3.6951
cation-180,2.6418
cation-181,7.7578
cation-183,6.0788
cation-186,4.2709
cation-187,4.5728
cation-188,8.2718
cation-190,1.8223
cation-192,2.7674
cation-194,6.7656
cation-202,7.6594
cation-203,8.4184
cation-204,4.1629
cation-206,5.1197
cation-207,6.6202
cation-208,3.8580
cation-209,5.1689
cation-210,7.0060
