conformer,C1,C2,C3,C4,C5,C6,HD
cation-001,0.9992,1.0104,1.0101,1.0109,1.0201,0.9994,1.6452
cation-002,1.0026,1.0135,1.0107,1.0147,1.0223,1.0000,1.6796
cation-003,1.0018,1.0232,1.0150,1.0112,1.0210,1.0017,1.6093
cation-004,1.0026,1.0189,1.0107,1.0058,1.0204,1.0064,1.5840
cation-005,0.9998,1.0196,1.0089,1.0092,1.0231,1.0041,1.6052
cation-006,1.0018,1.0111,1.0094,1.0155,1.0297,1.0037,1.6830
cation-008,1.0026,1.0230,1.0160,1.0150,1.0207,1.0003,1.6488
cation-010,1.0010,1.0228,1.0167,1.0140,1.0204,1.0028,1.6424
cation-011,0.9993,1.0242,1.0206,1.0145,1.0213,1.0057,1.6547
cation-012,1.0002,1.0178,1.0107,1.0141,1.0230,1.0016,1.6388
cation-013,1.0013,1.0201,1.0069,1.0047,1.0184,1.0004,1.6164
cation-014,0.9997,1.0260,1.0202,1.0122,1.0148,1.0034,1.6359
cation-015,1.0018,1.0203,1.0076,1.0075,1.0202,1.0026,1.6056
cation-016,1.0016,1.0139,1.0104,1.0115,1.0212,1.0035,1.4903
cation-017,1.0011,1.0174,1.0091,1.0105,1.0212,1.0003,1.5620
cation-019,1.0027,1.0189,1.0129,1.0142,1.0186,1.0033,1.4772
cation-020,1.0027,1.0221,1.0097,1.0069,1.0231,1.0006,1.5716
cation-021,1.0025,1.0207,1.0073,1.0068,1.0231,1.0050,1.5589
cation-023,1.0021,1.0195,1.0074,1.0084,1.0208,1.0014,1.5539
cation-024,0.9997,1.0103,1.0102,1.0118,1.0238,1.0019,1.6527
cation-025,0.9979,1.0192,1.0109,1.0109,1.0209,1.0022,1.5903
cation-028,1.0027,1.0175,1.0138,1.0147,1.0207,1.0002,1.5624
cation-029,1.0013,1.0177,1.0095,1.0150,1.0233,1.0021,1.5945
cation-031,1.0018,1.0146,1.0108,1.0114,1.0267,1.0067,1.5328
cation-033,0.9993,1.0149,1.0076,1.0103,1.0255,1.0054,1.6178
cation-034,1.0023,1.0215,1.0146,1.0128,1.0191,1.0012,1.6503
cation-038,1.0026,1.0202,1.0108,1.0102,1.0244,1.0037,1.5985
cation-040,1.0009,1.0198,1.0105,1.0092,1.0198,1.0018,1.5823
cation-041,1.0026,1.0215,1.0146,1.0151,1.0222,0.9995,1.5813
cation-042,1.0016,1.0139,1.0104,1.0115,1.0212,1.0035,1.4903
cation-043,1.0013,1.0264,1.0209,1.0128,1.0198,1.0069,1.6607
cation-045,0.9988,1.0201,1.0115,1.0108,1.0236,1.0054,1.6660
cation-047,1.0027,1.0204,1.0080,1.0077,1.0214,1.0006,1.5858
cation-048,1.0029,1.0229,1.0156,1.0156,1.0250,1.0026,1.6864
cation-049,1.0025,1.0232,1.0152,1.0129,1.0216,1.0021,1.6676
cation-051,1.0021,1.0273,1.0197,1.0122,1.0147,1.0043,1.6687
cation-053,1.0007,1.0173,1.0093,1.0104,1.0201,1.0022,1.6059
cation-054,1.0023,1.0207,1.0094,1.0092,1.0224,1.0022,1.6607
cation-056,1.0014,1.0194,1.0090,1.0073,1.0209,1.0042,1.5921
cation-057,1.0024,1.0145,1.0039,1.0057,1.0207,1.0039,1.5249
cation-058,1.0021,1.0223,1.0143,1.0141,1.0239,1.0027,1.6627
cation-059,1.0009,1.0198,1.0105,1.0092,1.0198,1.0019,1.5822
cation-061,1.0027,1.0221,1.0097,1.0069,1.0231,1.0006,1.5716
cation-062,1.0017,1.0161,1.0112,1.0094,1.0263,1.0062,1.5313
cation-065,1.0024,1.0224,1.0091,1.0058,1.0216,1.0044,1.5878
cation-067,1.0032,1.0222,1.0127,1.0113,1.0247,1.0016,1.6606
cation-071,1.0022,1.0198,1.0064,1.0050,1.0260,1.0064,1.5519
cation-072,1.0023,1.0253,1.0182,1.0144,1.0212,1.0014,1.6052
cation-073,1.0010,1.0216,1.0118,1.0099,1.0236,1.0019,1.6628
cation-074,1.0026,1.0202,1.0108,1.0102,1.0244,1.0037,1.5985
cation-075,1.0007,1.0255,1.0218,1.0143,1.0250,1.0108,1.6467
cation-078,1.0032,1.0194,1.0073,1.0072,1.0201,1.0044,1.5346
cation-079,1.0021,1.0143,1.0059,1.0064,1.0222,1.0056,1.5491
cation-080,1.0025,1.0257,1.0198,1.0133,1.0161,1.0047,1.6048
cation-082,1.0003,1.0201,1.0115,1.0109,1.0214,1.0032,1.6437
cation-083,1.0023,1.0210,1.0102,1.0104,1.0239,1.0053,1.5738
cation-084,1.0029,1.0268,1.0198,1.0125,1.0194,1.0070,1.6264
cation-086,1.0006,1.0172,1.0098,1.0117,1.0226,1.0022,1.6371
cation-087,1.0020,1.0183,1.0122,1.0154,1.0240,1.0019,1.6020
cation-091,1.0035,1.0123,1.0075,1.0175,1.0238,1.0018,1.5876
cation-095,1.0019,1.0193,1.0076,1.0073,1.0258,1.0067,1.5794
cation-098,1.0032,1.0222,1.0127,1.0113,1.0247,1.0016,1.6604
cation-099,1.0023,1.0210,1.0102,1.0104,1.0239,1.0053,1.5738
cation-101,1.0018,1.0129,1.0101,1.0144,1.0229,0.9992,1.6713
cation-102,1.0015,1.0207,1.0136,1.0139,1.0286,1.0084,1.5991
cation-103,1.0035,1.0218,1.0114,1.0105,1.0226,1.0016,1.5987
cation-104,1.0012,1.0225,1.0106,1.0101,1.0278,1.0064,1.5854
cation-108,1.0030,1.0219,1.0088,1.0059,1.0273,1.0066,1.5705
cation-109,1.0026,1.0275,1.0203,1.0110,1.0205,1.0051,1.6194
cation-113,1.0022,1.0126,1.0089,1.0117,1.0233,1.0017,1.6633
cation-114,1.0032,1.0222,1.0127,1.0113,1.0247,1.0016,1.6606
cation-117,1.0009,1.0211,1.0120,1.0110,1.0255,1.0048,1.6294
cation-118,1.0041,1.0222,1.0099,1.0080,1.0225,1.0046,1.5748
cation-119,1.0015,1.0211,1.0107,1.0106,1.0274,1.0062,1.6413
cation-124,1.0063,1.0208,1.0081,1.0024,1.0126,1.0055,1.4906
cation-127,1.0030,1.0240,1.0112,1.0030,1.0171,1.0030,1.5454
cation-128,1.0018,1.0176,1.0067,1.0036,1.0219,1.0061,1.5645
cation-130,0.9994,1.0187,1.0130,1.0096,1.0154,1.0020,1.6171
cation-131,1.0020,1.0194,1.0065,1.0061,1.0235,1.0040,1.5768
cation-135,0.9994,1.0101,1.0103,1.0111,1.0202,0.9990,1.6282
cation-136,0.9996,1.0151,1.0075,1.0095,1.0207,1.0020,1.6451
cation-139,1.0018,1.0129,1.0101,1.0144,1.0229,0.9992,1.6711
cation-140,1.0004,1.0097,1.0089,1.0118,1.0214,1.0011,1.6475
cation-141,1.0023,1.0136,1.0107,1.0149,1.0258,1.0020,1.6454
cation-144,1.0022,1.0193,1.0105,1.0054,1.0175,1.0037,1.5960
cation-147,0.9987,1.0182,1.0104,1.0094,1.0189,1.0015,1.5992
cation-148,0.9981,1.0186,1.0104,1.0093,1.0181,1.0004,1.6203
cation-151,1.0046,1.0132,1.0097,1.0088,1.0221,1.0015,1.6710
cation-152,1.0035,1.0124,1.0074,1.0121,1.0213,1.0009,1.6677
cation-153,1.0040,1.0242,1.0089,1.0036,1.0200,1.0045,1.5692
cation-154,1.0043,1.0255,1.0120,1.0042,1.0147,1.0034,1.5917
cation-155,1.0024,1.0175,1.0106,1.0091,1.0240,1.0040,1.5296
cation-157,1.0021,1.0177,1.0066,1.0031,1.0174,1.0029,1.5444
cation-158,1.0030,1.0156,1.0046,1.0040,1.0180,1.0031,1.5368
cation-159,1.0011,1.0174,1.0085,1.0125,1.0220,1.0015,1.6410
cation-160,1.0012,1.0205,1.0074,1.0067,1.0211,1.0022,1.5763
cation-161,1.0037,1.0170,1.0105,1.0071,1.0156,1.0006,1.5132
cation-162,1.0003,1.0190,1.0063,1.0076,1.0215,0.9999,1.5722
cation-163,1.0040,1.0136,1.0085,1.0081,1.0196,1.0043,1.4979
cation-165,1.0033,1.0243,1.0112,1.0034,1.0214,1.0058,1.6394
cation-167,0.9996,1.0175,1.0061,1.0088,1.0221,1.0027,1.6331
cation-170,1.0036,1.0143,1.0039,1.0044,1.0238,1.0068,1.5081
cation-171,1.0033,1.0243,1.0112,1.0034,1.0214,1.0058,1.6394
cation-172,1.0029,1.0123,1.0076,1.0111,1.0242,1.0032,1.6713
cation-173,1.0038,1.0241,1.0115,1.0031,1.0149,1.0034,1.6418
cation-175,1.0042,1.0239,1.0095,1.0035,1.0171,1.0037,1.6280
cation-178,0.9990,1.0190,1.0104,1.0098,1.0233,1.0034,1.5936
cation-179,1.0022,1.0126,1.0084,1.0111,1.0196,0.9990,1.6634
cation-180,1.0031,1.0226,1.0121,1.0106,1.0215,1.0020,1.6539
cation-181,1.0037,1.0170,1.0105,1.0070,1.0156,1.0006,1.5132
cation-183,1.0011,1.0204,1.0094,1.0087,1.0200,1.0017,1.6187
cation-186,1.0039,1.0239,1.0086,1.0040,1.0244,1.0065,1.6636
cation-187,1.0042,1.0239,1.0095,1.0035,1.0171,1.0037,1.6281
cation-188,1.0022,1.0174,1.0112,1.0098,1.0281,1.0066,1.5179
cation-190,1.0020,1.0204,1.0066,1.0053,1.0190,1.0018,1.5940
cation-192,1.0027,1.0160,1.0064,1.0035,1.0151,1.0031,1.5157
cation-194,1.0006,1.0188,1.0082,1.0086,1.0213,1.0021,1.6002
cation-202,1.0022,1.0213,1.0094,1.0071,1.0215,1.0019,1.6498
cation-203,1.0011,1.0145,1.0106,1.0120,1.0281,1.0059,1.5307
cation-204,0.9996,1.0175,1.0061,1.0088,1.0221,1.0027,1.6331
cation-206,1.0008,1.0194,1.0084,1.0078,1.0217,1.0004,1.6217
cation-207,1.0009,1.0198,1.0105,1.0092,1.0198,1.0019,1.5822
cation-208,1.0023,1.0215,1.0146,1.0128,1.0191,1.0012,1.6504
cation-209,1.0032,1.0239,1.0117,1.0037,1.0207,1.0061,1.5977
cation-210,1.0015,1.0216,1.0092,1.0072,1.0207,1.0021,1.6539
