filename,energy,forming,breaking,angle,imaginary
clay_new-glu_gluC6-AADL-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,2.6928,2.486,2.341,122.858,87
clay_new-glu_gluC6-AADR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,7.2719,2.428,2.309,128.486,148
clay_new-glu_gluC6-AAUR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,8.6850,2.463,2.167,133.207,215
clay_new-glu_gluC6-ACDR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,3.5501,2.593,2.291,119.900,114
clay_new-glu_gluC6-ADDL-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,9.5324,2.587,2.272,124.322,194
clay_new-glu_gluC6-ADDR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,14.0251,2.430,1.975,149.100,320
clay_new-glu_gluC6-ADUL-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,8.2734,2.620,2.145,132.481,160
clay_new-glu_gluC6-BCDL-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,1.1588,2.566,2.121,137.184,120
clay_new-glu_gluC6-BCDR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,0.0000,2.487,2.162,138.258,155
clay_new-glu_gluC6-BCUR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,0.8012,2.562,2.137,134.684,113
clay_new-glu_gluC6-BDDL-Na2a_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,12.7609,2.470,2.357,127.840,119
clay_new-glu_gluC6-BDUL-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,9.4932,2.611,2.178,129.549,86
clay_new-glu_gluC6-CADL-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,6.1523,2.532,2.218,125.902,108
clay_new-glu_gluC6-CADR-Na2_1Me2O-bisCF3-ts-b3lyp_d3bj-631gd-pcm_thf,0.8905,2.573,2.118,135.133,119
