filename,C1,C2,C3,C4,C5,C6,HD
AADL-Na2,1.0187,1.0080,1.0019,1.0024,1.0062,0.9986,1.4929
AADR-Na2,1.0300,1.0120,1.0007,1.0004,1.0074,0.9988,1.3577
AAUR-Na2,1.0420,1.0112,1.0013,0.9998,1.0033,0.9968,1.3019
ACDR-Na2,1.0170,1.0103,1.0063,1.0078,1.0072,0.9996,1.6830
ADDL-Na2,1.0174,1.0109,1.0032,1.0040,1.0080,0.9993,1.7364
ADDR-Na2,1.0685,1.0051,1.0003,1.0010,1.0010,0.9978,1.2186
ADUL-Na2,1.0274,1.0073,1.0027,1.0013,1.0095,1.0007,1.4267
BCDL-Na2,1.0318,1.0057,1.0008,1.0022,1.0062,0.9985,1.3637
BCDR-Na2,1.0362,1.0072,1.0023,1.0018,1.0056,0.9981,1.2991
BCUR-Na2,1.0297,1.0060,1.0014,1.0024,1.0058,0.9987,1.3928
BDDL-Na2a,1.0239,1.0076,1.0005,1.0011,1.0079,0.9986,1.4516
BDUL-Na2,1.0227,1.0060,1.0013,1.0020,1.0057,0.9994,1.5015
CADL-Na2,1.0237,1.0104,1.0069,1.0084,1.0059,0.9998,1.3707
CADR-Na2,1.0316,1.0058,1.0013,1.0022,1.0059,0.9985,1.3998
CAUR-Na2,1.0214,1.0054,1.0015,0.9997,1.0051,0.9988,1.3850
CCDL-Na2,1.0338,1.0049,1.0008,1.0021,1.0061,0.9985,1.3214
CCDR-Na2,1.0308,1.0060,1.0013,1.0019,1.0066,0.9985,1.2926
CCUL-Na2,1.0333,1.0062,1.0013,1.0018,1.0060,0.9985,1.3588
CDUR-Na2,1.0384,1.0107,1.0007,0.9992,1.0028,0.9983,1.3813
DADL-Na2,1.0328,1.0064,1.0014,1.0049,1.0116,1.0012,1.4621
DADR-Na2,1.0244,1.0112,1.0014,1.0036,1.0117,1.0023,1.4469
DAUR-Na2,1.0353,1.0082,1.0019,1.0027,1.0099,1.0011,1.3126
DCDL-Na2,1.0265,1.0059,1.0008,1.0045,1.0136,1.0030,1.4827
DCDR-Na2,1.0164,1.0125,1.0094,1.0082,1.0091,1.0042,1.7543
DCUL-Na2,1.0271,1.0060,1.0010,1.0029,1.0121,1.0023,1.4148
DCUR-Na2,1.0301,1.0040,1.0014,1.0031,1.0122,1.0030,1.3763
DDDL-Na2,1.0380,1.0050,1.0007,1.0041,1.0113,1.0020,1.4041
DDDR-Na2,1.0209,1.0066,1.0009,1.0044,1.0142,1.0040,1.4893
DDUL-Na2,1.0526,1.0014,1.0041,1.0066,1.0096,1.0038,1.1660
DDUR-Na2,1.0267,1.0054,1.0014,1.0054,1.0124,1.0013,1.5007
EADL-Na2,1.0205,1.0072,1.0027,1.0044,1.0115,1.0020,1.5152
EADR-Na2,1.0306,1.0075,1.0020,1.0039,1.0099,1.0008,1.4268
EAUR-Na2,1.0269,1.0093,1.0029,1.0041,1.0097,1.0014,1.3099
ECDL-Na2,1.0315,1.0053,1.0016,1.0025,1.0070,1.0005,1.3039
ECDR-Na2,1.0288,1.0122,1.0026,1.0025,1.0051,0.9994,1.3205
ECUL-Na2,1.0315,1.0059,1.0020,1.0040,1.0093,1.0013,1.4113
EDDL-Na2,1.0344,1.0106,1.0023,1.0031,1.0074,1.0010,1.3685
EDDL-Na2a,1.0272,1.0075,1.0015,1.0032,1.0083,1.0016,1.4589
EDDR-Na2,1.0193,1.0059,1.0013,1.0031,1.0107,1.0024,1.4533
FADL-Na2,1.0303,1.0075,1.0010,1.0023,1.0081,1.0005,1.4510
FAUL-Na2,1.0228,1.0115,1.0069,1.0071,1.0063,1.0024,1.4756
FAUR-Na2,1.0285,1.0067,1.0007,1.0026,1.0080,0.9999,1.4067
FCDL-Na2,1.0350,1.0055,1.0008,1.0029,1.0066,0.9995,1.3349
FCDR-Na2,1.0324,1.0069,1.0020,1.0029,1.0058,0.9997,1.2806
FCUR-Na2,1.0354,1.0098,1.0015,1.0033,1.0114,1.0021,1.2570
FDUL-Na2,1.0269,1.0069,1.0018,1.0032,1.0069,1.0001,1.3685
