theory,forming,breaking,angle,imaginary,lithiumAlkoxide,lithiumSulfonate,carbonLithiumSulfonate,dihedral1
b1b95,2.529,2.219,135.909,108,2.283,3.919,34.489,-125.788
b3lyp_d3bj,2.562,2.176,135.695,104,2.290,3.859,34.322,-126.682
b971,2.584,2.279,130.793,67,2.275,3.993,34.789,-129.103
b972,2.578,2.447,125.566,62,2.270,4.151,36.036,-133.977
b97d,2.660,2.120,140.002,134,2.349,3.809,33.786,-127.489
b97d3,2.679,2.135,134.909,87,2.362,3.960,32.622,-130.285
b98,2.579,2.285,131.179,68,2.271,4.003,34.792,-128.672
bhandh,2.328,2.075,144.351,260,2.295,3.720,33.786,-125.234
bp86_d3bj,2.563,2.126,138.328,124,2.334,3.872,33.277,-125.653
cam_b3lyp_d3bj,2.497,2.188,137.579,132,2.283,3.833,34.803,-125.435
lcwpbe_d3bj,2.429,2.180,140.747,184,2.320,3.882,34.095,-125.195
m062x,2.438,2.175,141.126,196,2.303,3.831,34.540,-124.614
m062x_d3,2.440,2.165,140.689,212,2.304,3.812,34.564,-124.221
m06_hf_d3,2.308,2.115,145.832,358,2.314,3.790,33.742,-123.778
m06l_d3,2.622,2.094,135.358,87,2.301,3.881,32.647,-130.376
m11,2.489,2.132,141.717,194,2.327,3.853,33.515,-126.701
mpw1pbe,2.499,2.244,133.707,120,2.266,3.970,34.423,-125.307
mpw1pw91,2.506,2.246,133.416,115,2.265,3.968,34.478,-125.514
mpw3pbe,2.520,2.240,133.561,118,2.267,3.983,34.209,-125.554
n12sx,2.514,2.197,135.993,151,2.265,3.906,34.219,-125.930
pbe0_d3bj,2.468,2.154,139.714,175,2.310,3.875,33.723,-125.208
tpsstpss_d3bj,2.558,2.092,139.374,130,2.307,3.875,32.615,-125.449
