theory,forming,breaking,angle,imaginary,lithiumAlkoxide,lithiumSulfonate,carbonLithiumSulfonate,dihedral1
b1b95,2.441,2.181,140.191,169,2.295,3.865,34.301,-127.999
b3lyp,2.517,2.230,134.450,140,2.257,3.954,34.332,-129.236
b3lyp_d3bj,2.487,2.162,138.258,155,2.306,3.851,34.134,-127.023
b3p86,2.448,2.154,138.458,202,2.267,3.940,33.074,-127.216
b971,2.508,2.209,135.687,175,2.275,3.947,34.034,-128.617
b972,2.508,2.285,130.981,122,2.256,4.046,34.386,-130.654
b97d,2.574,2.142,142.107,153,2.370,3.813,34.127,-127.886
b97d3,2.576,2.187,136.883,108,2.388,3.955,33.567,-130.129
b97d3_d3bj,2.558,2.175,136.971,108,2.346,3.939,33.515,-128.854
b98,2.508,2.226,134.834,161,2.268,3.960,34.205,-129.146
bhandh,2.290,2.053,145.758,307,2.296,3.701,33.552,-126.564
bhandhlyp,2.468,2.237,134.900,108,2.236,3.907,34.922,-127.863
blyp_d3bj,2.560,2.168,137.511,117,2.330,3.857,34.201,-128.022
bp86_d3bj,2.486,2.123,141.020,169,2.352,3.877,33.146,-126.376
cam_b3lyp_d3bj,2.424,2.155,139.961,202,2.292,3.822,34.281,-126.615
lcwpbe_d3bj,2.367,2.126,143.478,265,2.329,3.856,33.340,-126.603
m062x,2.376,2.158,143.477,258,2.312,3.820,34.294,-125.567
m062x_d3,2.375,2.154,142.944,270,2.311,3.798,34.457,-125.415
m06_hf_d3,2.229,2.022,150.020,524,2.321,3.774,32.018,-127.264
m06l_d3,2.549,2.113,138.465,101,2.329,3.871,33.066,-128.679
m11,2.407,2.123,144.898,252,2.351,3.835,33.458,-127.397
mpw1lyp,2.507,2.220,135.122,140,2.257,3.914,34.551,-128.665
mpw1pbe,2.442,2.185,137.625,190,2.258,3.970,33.328,-127.690
mpw1pw91,2.451,2.187,137.359,183,2.258,3.967,33.390,-127.556
mpw3pbe,2.458,2.184,137.504,186,2.262,3.965,33.369,-127.848
n12sx,2.434,2.130,140.091,243,2.277,3.885,33.173,-127.373
pbe0,2.441,2.159,139.123,205,2.269,3.922,33.322,-126.622
pbe0_d3bj,2.413,2.128,141.689,220,2.313,3.862,33.342,-126.460
tpsstpss_d3bj,2.487,2.093,141.485,169,2.323,3.883,32.506,-126.785
