theory,C1,C2,C3,C4,C5,C6,HD
b1b95,1.0428,1.0084,1.0027,1.0010,1.0045,0.9982,1.2420
b3lyp,1.0296,1.0087,1.0023,1.0012,1.0065,0.9982,1.4172
b3lyp_d3bj,1.0362,1.0072,1.0023,1.0018,1.0056,0.9981,1.2991
b3p86,1.0453,1.0084,1.0022,1.0009,1.0042,0.9980,1.3324
b971,1.0345,1.0087,1.0023,1.0013,1.0053,0.9980,1.5064
b972,1.0274,1.0098,1.0020,1.0012,1.0068,0.9983,1.5301
b97d,1.0352,1.0049,1.0017,1.0023,1.0061,0.9968,1.1909
b97d3,1.0271,1.0067,1.0021,1.0021,1.0060,0.9976,1.3630
b97d3_d3bj,1.0269,1.0077,1.0025,1.0017,1.0055,0.9980,1.4013
b98,1.0320,1.0090,1.0023,1.0013,1.0059,0.9980,1.5062
bhandh,1.0742,1.0052,1.0024,1.0021,1.0035,0.9983,1.1051
bhandhlyp,1.0297,1.0095,1.0023,1.0011,1.0073,0.9987,1.3214
blyp_d3bj,1.0268,1.0066,1.0025,1.0024,1.0054,0.9977,1.3708
bp86_d3bj,1.0382,1.0061,1.0020,1.0020,1.0045,0.9978,1.3159
cam_b3lyp_d3bj,1.0464,1.0073,1.0022,1.0015,1.0047,0.9981,1.2215
lcwpbe_d3bj,1.0633,1.0069,1.0023,1.0010,1.0040,0.9983,1.2086
m062x,1.0607,1.0068,1.0028,1.0013,1.0042,0.9983,1.1215
m062x_d3,1.0611,1.0067,1.0031,1.0016,1.0043,0.9983,1.1458
m06_hf_d3,1.1153,1.0031,1.0027,1.0011,1.0004,0.9977,1.0234
m06l_d3,1.0322,1.0078,1.0041,1.0019,1.0058,0.9982,1.3699
m11,1.0560,1.0056,1.0033,1.0013,1.0037,0.9981,1.1151
mpw1lyp,1.0307,1.0085,1.0023,1.0014,1.0064,0.9982,1.3750
mpw1pbe,1.0438,1.0091,1.0024,1.0008,1.0048,0.9980,1.3521
mpw1pw91,1.0424,1.0091,1.0024,1.0008,1.0050,0.9980,1.3537
mpw3pbe,1.0424,1.0088,1.0025,1.0010,1.0049,0.9979,1.3564
n12sx,1.0531,1.0074,1.0022,1.0014,1.0037,0.9983,1.3034
pbe0,1.0472,1.0086,1.0024,1.0010,1.0043,0.9981,1.3172
pbe0_d3bj,1.0519,1.0072,1.0024,1.0014,1.0043,0.9979,1.2553
tpsstpss_d3bj,1.0391,1.0060,1.0023,1.0021,1.0043,0.9980,1.3080
